observation --- [434, 743, 562, 42, 354, 868] info --- {'sequence': ['N377', 'N400', 'N68', 'E160', 'E148', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.725923776626587 logZ --- 1.0
observation --- [854, 786, 244, 709, 759, 868] info --- {'sequence': ['N60', 'N422', 'N601', 'E1', 'E38', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.403594475952161 loss --- 497.83428955078125 logZ --- 1.0
observation --- [481, 614, 395, 847, 803, 868] info --- {'sequence': ['N246', 'N328', 'N708', 'E221', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1595863928359682 loss --- 460.40386962890625 logZ --- 1.0
observation --- [861, 125, 272, 470, 589, 868] info --- {'sequence': ['N558', 'N197', 'N393', 'E205', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.452794075012207 logZ --- 1.0
observation --- [136, 417, 365, 47, 815, 868] info --- {'sequence': ['N519', 'N86', 'N184', 'E8', 'E156', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0957211061024823 loss --- 464.14593505859375 logZ --- 1.0
observation --- [357, 43, 562, 836, 167, 868] info --- {'sequence': ['N495', 'N645', 'N68', 'E128', 'E193', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.5887715816497803 logZ --- 1.0049999952316284
observation --- [154, 125, 9, 118, 751, 868] info --- {'sequence': ['N488', 'N197', 'N238', 'E224', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0445508377966544 loss --- 438.0450439453125 logZ --- 1.0049999952316284
observation --- [334, 303, 85, 550, 245, 868] info --- {'sequence': ['N163', 'N354', 'N218', 'E108', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0482224316013582 loss --- 459.06646728515625 logZ --- 1.0049999952316284
observation --- [570, 660, 226, 87, 799, 868] info --- {'sequence': ['N516', 'N553', 'N267', 'E71', 'E166', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0361112439094564 loss --- 475.5870666503906 logZ --- 1.0049999952316284
observation --- [737, 688, 449, 17, 47, 868] info --- {'sequence': ['N333', 'N125', 'N562', 'E219', 'E8', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.573720932006836 logZ --- 1.0049999952316284
observation --- [737, 348, 88, 260, 188, 868] info --- {'sequence': ['N333', 'N268', 'N168', 'E83', 'E35', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1797278458041778 loss --- 485.3303527832031 logZ --- 1.009996771812439
observation --- [357, 149, 226, 774, 472, 868] info --- {'sequence': ['N495', 'N574', 'N267', 'E161', 'E131', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.246333122253418 logZ --- 1.009996771812439
observation --- [122, 149, 102, 70, 246, 868] info --- {'sequence': ['N245', 'N574', 'N395', 'E92', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.5921604633331299 logZ --- 1.009996771812439
observation --- [334, 773, 179, 17, 805, 868] info --- {'sequence': ['N163', 'N102', 'N161', 'E219', 'E150', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.283652347116801 loss --- 474.1824951171875 logZ --- 1.009996771812439
observation --- [792, 526, 90, 682, 430, 868] info --- {'sequence': ['N277', 'N528', 'N450', 'E209', 'E111', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2262585580429053 loss --- 474.8824462890625 logZ --- 1.009996771812439
observation --- [419, 127, 814, 649, 63, 868] info --- {'sequence': ['N225', 'N286', 'N190', 'E101', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0856812784678365 loss --- 482.9278869628906 logZ --- 1.014996886253357
observation --- [153, 816, 179, 520, 680, 868] info --- {'sequence': ['N117', 'N536', 'N161', 'E113', 'E104', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0648777265491756 loss --- 497.3992919921875 logZ --- 1.014996886253357
observation --- [585, 22, 102, 803, 494, 868] info --- {'sequence': ['N20', 'N433', 'N395', 'E91', 'E165', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.865870714187622 logZ --- 1.014996886253357
observation --- [737, 264, 90, 781, 592, 868] info --- {'sequence': ['N333', 'N554', 'N450', 'E138', 'E41', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4087266725622534 loss --- 462.3739318847656 logZ --- 1.014996886253357
