observation --- [769, 708, 222, 867] info --- {'sequence': ['N51', 'N287', 'N385', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.59632873535156 logZ --- 1.0
observation --- [570, 22, 810, 867] info --- {'sequence': ['N516', 'N433', 'N109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.42430114746094 logZ --- 1.0
observation --- [489, 310, 674, 867] info --- {'sequence': ['N429', 'N508', 'N32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 82.62931823730469 logZ --- 1.0
observation --- [626, 605, 558, 867] info --- {'sequence': ['N216', 'N340', 'N3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 86.02800750732422 logZ --- 1.0
observation --- [540, 417, 558, 867] info --- {'sequence': ['N695', 'N86', 'N3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 79.13599395751953 logZ --- 1.0
observation --- [795, 816, 288, 867] info --- {'sequence': ['N408', 'N536', 'N700', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.99372100830078 logZ --- 0.9950000047683716
observation --- [602, 417, 569, 867] info --- {'sequence': ['N19', 'N86', 'N434', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.07502746582031 logZ --- 0.9950000047683716
observation --- [597, 127, 85, 867] info --- {'sequence': ['N440', 'N286', 'N218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 84.58490753173828 logZ --- 0.9950000047683716
observation --- [586, 743, 90, 867] info --- {'sequence': ['N682', 'N400', 'N450', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 90.72798156738281 logZ --- 0.9950000047683716
observation --- [334, 264, 129, 867] info --- {'sequence': ['N163', 'N554', 'N52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.05171203613281 logZ --- 0.9950000047683716
observation --- [147, 347, 617, 867] info --- {'sequence': ['N535', 'N447', 'N346', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0088650749854509 loss --- 105.64608001708984 logZ --- 0.9900016784667969
observation --- [19, 614, 523, 867] info --- {'sequence': ['N639', 'N328', 'N188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 86.7307357788086 logZ --- 0.9900016784667969
observation --- [89, 773, 272, 867] info --- {'sequence': ['N473', 'N102', 'N393', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 94.0259017944336 logZ --- 0.9900016784667969
