observation --- [608, 143, 861, 223, 11, 868] info --- {'sequence': ['N475', 'N650', 'N558', 'E84', 'E25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.01596490666270256 logZ --- 1.0
observation --- [820, 143, 422, 120, 548, 868] info --- {'sequence': ['N457', 'N650', 'N579', 'E191', 'E226', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.22377550601959229 logZ --- 1.0
observation --- [572, 178, 2, 431, 400, 868] info --- {'sequence': ['N465', 'N444', 'N80', 'E168', 'E63', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.012128264643251896 logZ --- 1.0
observation --- [368, 143, 55, 624, 14, 868] info --- {'sequence': ['N106', 'N650', 'N81', 'E199', 'E171', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.02288547158241272 logZ --- 1.0
observation --- [655, 143, 482, 788, 662, 868] info --- {'sequence': ['N690', 'N650', 'N499', 'E167', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.49568650126457214 logZ --- 1.0
observation --- [655, 178, 136, 584, 624, 868] info --- {'sequence': ['N690', 'N444', 'N519', 'E182', 'E199', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.34303000569343567 logZ --- 0.9950000047683716
observation --- [66, 143, 2, 467, 671, 868] info --- {'sequence': ['N666', 'N650', 'N80', 'E10', 'E97', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.05945774355317 loss --- 388.154052734375 logZ --- 0.9950000047683716
observation --- [259, 178, 438, 285, 550, 868] info --- {'sequence': ['N577', 'N444', 'N130', 'E57', 'E108', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.16363491117954254 logZ --- 0.9950000047683716
observation --- [703, 143, 481, 315, 246, 868] info --- {'sequence': ['N570', 'N650', 'N246', 'E99', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.31274548172950745 logZ --- 0.9950000047683716
observation --- [108, 178, 415, 599, 193, 868] info --- {'sequence': ['N16', 'N444', 'N386', 'E174', 'E77', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.010673274286091328 logZ --- 0.9950000047683716
observation --- [497, 178, 316, 474, 725, 868] info --- {'sequence': ['N559', 'N444', 'N110', 'E70', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.28197938203811646 logZ --- 0.9986935257911682
observation --- [747, 178, 297, 837, 709, 868] info --- {'sequence': ['N324', 'N444', 'N713', 'E139', 'E1', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.004600273445248604 logZ --- 0.9986935257911682
observation --- [274, 178, 356, 677, 243, 868] info --- {'sequence': ['N77', 'N444', 'N48', 'E189', 'E15', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.013844447210431099 logZ --- 0.9986935257911682
observation --- [16, 178, 602, 568, 452, 868] info --- {'sequence': ['N309', 'N444', 'N19', 'E154', 'E67', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.75113445520401 logZ --- 0.9986935257911682
observation --- [224, 143, 586, 79, 680, 868] info --- {'sequence': ['N493', 'N650', 'N682', 'E223', 'E104', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.1603080779314041 logZ --- 0.9986935257911682
observation --- [107, 178, 686, 405, 567, 868] info --- {'sequence': ['N467', 'N444', 'N126', 'E119', 'E3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.014249534346163273 logZ --- 1.0011824369430542
observation --- [486, 143, 415, 232, 331, 868] info --- {'sequence': ['N220', 'N650', 'N386', 'E215', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.06924150884151459 logZ --- 1.0011824369430542
observation --- [130, 143, 826, 118, 774, 868] info --- {'sequence': ['N173', 'N650', 'N606', 'E224', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.38817551732063293 logZ --- 1.0011824369430542
observation --- [0, 143, 626, 584, 17, 868] info --- {'sequence': ['N274', 'N650', 'N216', 'E182', 'E219', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.15071019530296326 logZ --- 1.0011824369430542
observation --- [511, 178, 136, 252, 561, 868] info --- {'sequence': ['N314', 'N444', 'N519', 'E233', 'E216', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.4308944046497345 logZ --- 1.0011824369430542
observation --- [358, 178, 154, 783, 667, 868] info --- {'sequence': ['N646', 'N444', 'N488', 'E146', 'E134', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.09927461296319962 logZ --- 1.0030126571655273
observation --- [69, 178, 512, 40, 643, 868] info --- {'sequence': ['N382', 'N444', 'N96', 'E123', 'E107', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.02518175169825554 logZ --- 1.0030126571655273
observation --- [809, 178, 695, 622, 472, 868] info --- {'sequence': ['N556', 'N444', 'N196', 'E147', 'E131', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.18901526927948 logZ --- 1.0030126571655273
observation --- [339, 178, 266, 788, 758, 868] info --- {'sequence': ['N334', 'N444', 'N25', 'E167', 'E80', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.28435438871383667 logZ --- 1.0030126571655273
observation --- [432, 178, 769, 631, 70, 868] info --- {'sequence': ['N608', 'N444', 'N51', 'E187', 'E92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.23670431971549988 logZ --- 1.0030126571655273
observation --- [3, 143, 249, 443, 319, 868] info --- {'sequence': ['N555', 'N650', 'N321', 'E47', 'E44', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0039675235748291016 logZ --- 1.0041602849960327
observation --- [310, 178, 316, 672, 808, 868] info --- {'sequence': ['N508', 'N444', 'N110', 'E201', 'E2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.31890669465065 logZ --- 1.0041602849960327
observation --- [377, 143, 826, 42, 40, 868] info --- {'sequence': ['N667', 'N650', 'N606', 'E160', 'E123', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.24243444204330444 logZ --- 1.0041602849960327
observation --- [66, 178, 219, 833, 520, 868] info --- {'sequence': ['N666', 'N444', 'N611', 'E89', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.07233794033527374 logZ --- 1.0041602849960327
observation --- [62, 178, 357, 391, 636, 868] info --- {'sequence': ['N489', 'N444', 'N495', 'E220', 'E82', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.3929315209388733 logZ --- 1.0041602849960327
