observation --- [107, 178, 861, 867] info --- {'sequence': ['N467', 'N444', 'N558', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.775390625 logZ --- 1.0
observation --- [608, 143, 153, 867] info --- {'sequence': ['N475', 'N650', 'N117', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 118.17842102050781 logZ --- 1.0
observation --- [857, 143, 357, 867] info --- {'sequence': ['N306', 'N650', 'N495', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.29898071289062 logZ --- 1.0
observation --- [396, 143, 444, 867] info --- {'sequence': ['N678', 'N650', 'N10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.24009704589844 logZ --- 1.0
observation --- [802, 143, 695, 867] info --- {'sequence': ['N576', 'N650', 'N196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 127.50615692138672 logZ --- 1.0
observation --- [637, 178, 792, 867] info --- {'sequence': ['N59', 'N444', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.0067138671875 logZ --- 0.9950000047683716
observation --- [377, 143, 597, 867] info --- {'sequence': ['N667', 'N650', 'N440', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.162841796875 logZ --- 0.9950000047683716
observation --- [0, 178, 597, 867] info --- {'sequence': ['N274', 'N444', 'N440', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 131.45928955078125 logZ --- 0.9950000047683716
observation --- [753, 178, 792, 867] info --- {'sequence': ['N453', 'N444', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.60759735107422 logZ --- 0.9950000047683716
observation --- [855, 178, 424, 867] info --- {'sequence': ['N659', 'N444', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.21773529052734 logZ --- 0.9950000047683716
observation --- [362, 143, 444, 867] info --- {'sequence': ['N366', 'N650', 'N10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.08900451660156 logZ --- 0.9899999499320984
