observation --- [202, 807, 501, 750, 700, 868] info --- {'sequence': ['N376', 'N99', 'N91', 'E64', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1125645343921124 loss --- 510.50994873046875 logZ --- 1.0
observation --- [493, 90, 314, 600, 672, 868] info --- {'sequence': ['N557', 'N450', 'N365', 'E53', 'E201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.55164909362793 logZ --- 1.0
observation --- [326, 490, 385, 117, 604, 868] info --- {'sequence': ['N710', 'N158', 'N454', 'E42', 'E4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.070162403965651 loss --- 525.84130859375 logZ --- 1.0
observation --- [41, 129, 114, 636, 63, 868] info --- {'sequence': ['N551', 'N52', 'N355', 'E82', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.916723251342773 logZ --- 1.0
observation --- [407, 537, 835, 142, 750, 868] info --- {'sequence': ['N255', 'N215', 'N689', 'E210', 'E64', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2324610473094368 loss --- 523.7296142578125 logZ --- 1.0
observation --- [690, 718, 852, 799, 687, 868] info --- {'sequence': ['N62', 'N388', 'N210', 'E166', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 14.186712265014648 logZ --- 1.0049999952316284
observation --- [233, 244, 137, 201, 246, 868] info --- {'sequence': ['N43', 'N601', 'N387', 'E19', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.560139656066895 logZ --- 1.0049999952316284
observation --- [350, 523, 535, 610, 506, 868] info --- {'sequence': ['N705', 'N188', 'N136', 'E24', 'E127', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4337385373350224 loss --- 540.5264892578125 logZ --- 1.0049999952316284
observation --- [390, 365, 767, 299, 465, 868] info --- {'sequence': ['N330', 'N184', 'N259', 'E225', 'E45', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.279021244533432 loss --- 527.0459594726562 logZ --- 1.0049999952316284
observation --- [760, 395, 202, 796, 613, 868] info --- {'sequence': ['N513', 'N708', 'N376', 'E59', 'E115', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1553662913800145 loss --- 549.4135131835938 logZ --- 1.0049999952316284
observation --- [128, 265, 711, 667, 277, 868] info --- {'sequence': ['N317', 'N398', 'N522', 'E134', 'E132', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.355809211730957 logZ --- 1.0100021362304688
observation --- [712, 714, 139, 299, 568, 868] info --- {'sequence': ['N665', 'N697', 'N44', 'E225', 'E154', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.223988930083734 loss --- 551.3924560546875 logZ --- 1.0100021362304688
observation --- [644, 569, 509, 331, 243, 868] info --- {'sequence': ['N644', 'N434', 'N202', 'E20', 'E15', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5203440973762201 loss --- 564.83251953125 logZ --- 1.0100021362304688
observation --- [835, 598, 580, 750, 867, 868] info --- {'sequence': ['N689', 'N312', 'N223', 'E64', 'none', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0179679911209591 loss --- 508.8916015625 logZ --- 1.0100021362304688
observation --- [576, 814, 15, 613, 328, 868] info --- {'sequence': ['N455', 'N190', 'N207', 'E115', 'E102', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.471272468566895 logZ --- 1.0100021362304688
observation --- [527, 653, 289, 487, 391, 868] info --- {'sequence': ['N471', 'N600', 'N580', 'E181', 'E220', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.548819541931152 logZ --- 1.0150052309036255
observation --- [308, 57, 247, 774, 663, 868] info --- {'sequence': ['N193', 'N34', 'N524', 'E161', 'E133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1545585170072434 loss --- 515.0736694335938 logZ --- 1.0150052309036255
observation --- [381, 272, 493, 819, 335, 868] info --- {'sequence': ['N1', 'N393', 'N557', 'E137', 'E96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0041694407598518 loss --- 553.442138671875 logZ --- 1.0150052309036255
observation --- [342, 449, 789, 477, 443, 868] info --- {'sequence': ['N437', 'N562', 'N549', 'E169', 'E47', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0476519898527954 loss --- 504.82183837890625 logZ --- 1.0150052309036255
observation --- [830, 90, 239, 216, 620, 868] info --- {'sequence': ['N282', 'N450', 'N420', 'E74', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 14.344060897827148 logZ --- 1.0150052309036255
observation --- [202, 666, 525, 170, 589, 868] info --- {'sequence': ['N376', 'N466', 'N525', 'E212', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.217708587646484 logZ --- 1.0200073719024658
observation --- [172, 387, 41, 484, 243, 868] info --- {'sequence': ['N409', 'N113', 'N551', 'E109', 'E15', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.142431259155273 logZ --- 1.0200073719024658
observation --- [712, 569, 729, 528, 33, 868] info --- {'sequence': ['N665', 'N434', 'N12', 'E26', 'E162', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5274930384068763 loss --- 571.0000610351562 logZ --- 1.0200073719024658
observation --- [732, 761, 375, 799, 345, 868] info --- {'sequence': ['N390', 'N327', 'N288', 'E166', 'E58', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.95252513885498 logZ --- 1.0200073719024658
observation --- [172, 814, 202, 776, 29, 868] info --- {'sequence': ['N409', 'N190', 'N376', 'E105', 'E180', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.069035530090332 logZ --- 1.0200073719024658
