observation --- [137, 85, 733, 867] info --- {'sequence': ['N387', 'N218', 'N445', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.8160285949707 logZ --- 1.0
observation --- [289, 674, 848, 867] info --- {'sequence': ['N580', 'N32', 'N581', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.95615768432617 logZ --- 1.0
observation --- [754, 370, 186, 867] info --- {'sequence': ['N194', 'N256', 'N561', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.88610076904297 logZ --- 1.0
observation --- [128, 490, 261, 867] info --- {'sequence': ['N317', 'N158', 'N618', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.587337493896484 logZ --- 1.0
observation --- [150, 562, 375, 867] info --- {'sequence': ['N302', 'N68', 'N288', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.17732620239258 logZ --- 1.0
observation --- [509, 395, 527, 867] info --- {'sequence': ['N202', 'N708', 'N471', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.42131805419922 logZ --- 0.9950000047683716
observation --- [856, 523, 41, 867] info --- {'sequence': ['N603', 'N188', 'N551', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.6766128540039 logZ --- 0.9950000047683716
observation --- [767, 406, 644, 867] info --- {'sequence': ['N259', 'N367', 'N644', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.2932860529128838 loss --- 170.88153076171875 logZ --- 0.9950000047683716
observation --- [566, 710, 732, 867] info --- {'sequence': ['N17', 'N404', 'N390', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.52741241455078 logZ --- 0.9950000047683716
observation --- [352, 558, 230, 867] info --- {'sequence': ['N534', 'N3', 'N654', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 52.785438537597656 logZ --- 0.9950000047683716
observation --- [767, 523, 234, 867] info --- {'sequence': ['N259', 'N188', 'N153', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.98137664794922 logZ --- 0.9904224872589111
