observation --- [220, 137, 308, 439, 687, 115, 116, 868] info --- {'sequence': ['N164', 'N387', 'N193', 'N46', 'E120', 'E33', 'E163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0562902730278032 loss --- 1106.6845703125 logZ --- 1.0
observation --- [569, 535, 361, 767, 620, 700, 13, 868] info --- {'sequence': ['N434', 'N136', 'N424', 'N259', 'E229', 'E60', 'E222', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.079132688958904 loss --- 1047.475830078125 logZ --- 1.0
observation --- [659, 856, 535, 228, 23, 654, 846, 868] info --- {'sequence': ['N313', 'N603', 'N136', 'N200', 'E136', 'E145', 'E32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2498751739084557 loss --- 1094.870849609375 logZ --- 1.0
observation --- [537, 525, 493, 734, 477, 664, 548, 868] info --- {'sequence': ['N215', 'N525', 'N557', 'N448', 'E169', 'E195', 'E226', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 168.39602661132812 logZ --- 1.0
observation --- [710, 576, 123, 856, 518, 506, 408, 868] info --- {'sequence': ['N404', 'N455', 'N90', 'N603', 'E232', 'E127', 'E152', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 148.41253662109375 logZ --- 1.0
observation --- [706, 248, 852, 239, 157, 624, 29, 868] info --- {'sequence': ['N50', 'N174', 'N210', 'N420', 'E5', 'E199', 'E180', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 161.056396484375 logZ --- 1.0049999952316284
observation --- [50, 509, 501, 407, 5, 345, 210, 868] info --- {'sequence': ['N435', 'N202', 'N91', 'N255', 'E56', 'E58', 'E17', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.196873036337151 loss --- 1086.6474609375 logZ --- 1.0049999952316284
observation --- [386, 767, 239, 541, 210, 662, 436, 868] info --- {'sequence': ['N514', 'N259', 'N420', 'N87', 'E17', 'E13', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 164.490234375 logZ --- 1.0049999952316284
observation --- [34, 711, 145, 239, 474, 14, 618, 868] info --- {'sequence': ['N57', 'N522', 'N263', 'N420', 'E70', 'E171', 'E118', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 153.43240356445312 logZ --- 1.0049999952316284
observation --- [617, 15, 261, 123, 465, 12, 564, 868] info --- {'sequence': ['N346', 'N207', 'N618', 'N90', 'E45', 'E218', 'E204', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 153.5492401123047 logZ --- 1.0049999952316284
observation --- [706, 478, 856, 139, 319, 79, 124, 868] info --- {'sequence': ['N50', 'N4', 'N603', 'N44', 'E44', 'E223', 'E135', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2085356828323235 loss --- 1042.3623046875 logZ --- 1.0098563432693481
observation --- [598, 576, 30, 97, 431, 126, 491, 868] info --- {'sequence': ['N312', 'N455', 'N29', 'N112', 'E168', 'E112', 'E39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0789721730433912 loss --- 1086.513916015625 logZ --- 1.0098563432693481
observation --- [558, 202, 105, 439, 649, 280, 443, 868] info --- {'sequence': ['N3', 'N376', 'N417', 'N46', 'E101', 'E72', 'E47', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1171182924041838 loss --- 1082.5615234375 logZ --- 1.0098563432693481
observation --- [718, 493, 574, 308, 29, 758, 42, 868] info --- {'sequence': ['N388', 'N557', 'N127', 'N193', 'E180', 'E80', 'E160', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 170.05844116210938 logZ --- 1.0098563432693481
observation --- [57, 479, 101, 352, 17, 208, 225, 868] info --- {'sequence': ['N34', 'N624', 'N303', 'N534', 'E219', 'E158', 'E78', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 146.58836364746094 logZ --- 1.0098563432693481
observation --- [244, 478, 566, 261, 440, 564, 680, 868] info --- {'sequence': ['N601', 'N4', 'N17', 'N618', 'E30', 'E204', 'E104', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1134148766983443 loss --- 1012.3270263671875 logZ --- 1.014784812927246
observation --- [834, 559, 101, 172, 719, 227, 634, 868] info --- {'sequence': ['N371', 'N129', 'N303', 'N409', 'E49', 'E175', 'E172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 151.1144561767578 logZ --- 1.014784812927246
observation --- [464, 690, 306, 736, 216, 161, 647, 868] info --- {'sequence': ['N662', 'N62', 'N614', 'N631', 'E74', 'E85', 'E52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.180926244626532 loss --- 1095.2430419921875 logZ --- 1.014784812927246
observation --- [179, 307, 15, 757, 414, 126, 423, 868] info --- {'sequence': ['N161', 'N688', 'N207', 'N464', 'E188', 'E112', 'E86', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 181.76541137695312 logZ --- 1.014784812927246
observation --- [365, 640, 830, 642, 548, 636, 791, 868] info --- {'sequence': ['N184', 'N460', 'N282', 'N27', 'E226', 'E82', 'E177', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0228073670890672 loss --- 1128.3975830078125 logZ --- 1.014784812927246
