observation --- [674, 186, 231, 230, 867] info --- {'sequence': ['N32', 'N561', 'N211', 'N654', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.734534740447998 logZ --- 1.0
observation --- [645, 835, 146, 238, 867] info --- {'sequence': ['N115', 'N689', 'N503', 'N468', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 13.22011947631836 logZ --- 1.0
observation --- [129, 736, 41, 385, 867] info --- {'sequence': ['N52', 'N631', 'N551', 'N454', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 14.863933563232422 logZ --- 1.0
observation --- [814, 248, 81, 373, 867] info --- {'sequence': ['N190', 'N174', 'N276', 'N538', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.615055084228516 logZ --- 1.0
observation --- [598, 455, 314, 171, 867] info --- {'sequence': ['N312', 'N564', 'N365', 'N100', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.949142456054688 logZ --- 1.0
observation --- [807, 172, 211, 439, 867] info --- {'sequence': ['N99', 'N409', 'N500', 'N46', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 8.90865707397461 logZ --- 0.9950000047683716
observation --- [365, 239, 326, 306, 867] info --- {'sequence': ['N184', 'N420', 'N710', 'N614', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.788352012634277 logZ --- 0.9950000047683716
observation --- [85, 261, 151, 644, 867] info --- {'sequence': ['N218', 'N618', 'N575', 'N644', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.397404670715332 logZ --- 0.9950000047683716
observation --- [102, 49, 381, 375, 867] info --- {'sequence': ['N395', 'N498', 'N1', 'N288', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.878612995147705 logZ --- 0.9950000047683716
observation --- [523, 439, 736, 479, 867] info --- {'sequence': ['N188', 'N46', 'N631', 'N624', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 7.516464710235596 logZ --- 0.9950000047683716
observation --- [129, 81, 176, 114, 867] info --- {'sequence': ['N52', 'N276', 'N547', 'N355', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.341991424560547 logZ --- 0.9900406002998352
observation --- [288, 712, 705, 509, 867] info --- {'sequence': ['N700', 'N665', 'N539', 'N202', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 10.488417625427246 logZ --- 0.9900406002998352
observation --- [179, 41, 736, 238, 867] info --- {'sequence': ['N161', 'N551', 'N631', 'N468', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 13.22672176361084 logZ --- 0.9900406002998352
observation --- [226, 228, 141, 644, 867] info --- {'sequence': ['N267', 'N200', 'N13', 'N644', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 14.627129554748535 logZ --- 0.9900406002998352
observation --- [220, 501, 527, 661, 867] info --- {'sequence': ['N164', 'N91', 'N471', 'N597', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 11.57748794555664 logZ --- 0.9900406002998352
observation --- [454, 760, 712, 101, 867] info --- {'sequence': ['N520', 'N513', 'N665', 'N303', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 12.174613952636719 logZ --- 0.9850547313690186
observation --- [88, 234, 41, 376, 867] info --- {'sequence': ['N168', 'N153', 'N551', 'N201', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 9.981006622314453 logZ --- 0.9850547313690186
