observation --- [458, 288, 481, 402, 671, 548, 796, 868] info --- {'sequence': ['N610', 'N700', 'N246', 'E61', 'E97', 'E226', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 166.4649658203125 logZ --- 1.0
observation --- [249, 88, 297, 776, 443, 584, 583, 868] info --- {'sequence': ['N321', 'N168', 'N713', 'E105', 'E47', 'E182', 'E103', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0618716610952479 loss --- 1123.6392822265625 logZ --- 1.0
observation --- [681, 449, 657, 391, 465, 167, 63, 868] info --- {'sequence': ['N353', 'N562', 'N484', 'E220', 'E45', 'E193', 'E76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 180.47825622558594 logZ --- 1.0
observation --- [489, 454, 191, 564, 788, 63, 135, 868] info --- {'sequence': ['N429', 'N520', 'N474', 'E204', 'E167', 'E76', 'E194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1739202224238154 loss --- 1168.44091796875 logZ --- 1.0
observation --- [419, 552, 737, 568, 480, 606, 161, 868] info --- {'sequence': ['N225', 'N305', 'N333', 'E154', 'E176', 'E110', 'E85', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.168982825668157 loss --- 1100.0150146484375 logZ --- 1.0
observation --- [266, 674, 485, 232, 299, 561, 480, 868] info --- {'sequence': ['N25', 'N32', 'N79', 'E215', 'E225', 'E216', 'E176', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.4007191988526735 loss --- 1171.474853515625 logZ --- 1.0049999952316284
observation --- [59, 718, 356, 161, 643, 663, 491, 868] info --- {'sequence': ['N23', 'N388', 'N48', 'E85', 'E107', 'E133', 'E39', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3390988566874726 loss --- 1154.15380859375 logZ --- 1.0049999952316284
observation --- [681, 44, 191, 414, 12, 142, 547, 868] info --- {'sequence': ['N353', 'N719', 'N474', 'E188', 'E218', 'E210', 'E125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0857328771902035 loss --- 1067.0987548828125 logZ --- 1.0049999952316284
observation --- [65, 718, 795, 561, 487, 14, 764, 868] info --- {'sequence': ['N186', 'N388', 'N408', 'E216', 'E181', 'E171', 'E69', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1988908265922167 loss --- 1105.956298828125 logZ --- 1.0049999952316284
observation --- [67, 756, 169, 583, 391, 528, 467, 868] info --- {'sequence': ['N157', 'N627', 'N279', 'E103', 'E220', 'E26', 'E10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1397319111479243 loss --- 1101.6876220703125 logZ --- 1.0049999952316284
observation --- [485, 44, 422, 738, 243, 405, 112, 868] info --- {'sequence': ['N79', 'N719', 'N579', 'E11', 'E15', 'E119', 'E37', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2386974405828908 loss --- 1137.861328125 logZ --- 1.0099895000457764
