observation --- [249, 387, 21, 867] info --- {'sequence': ['N321', 'N113', 'N411', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.6814193725586 logZ --- 1.0
observation --- [294, 370, 65, 867] info --- {'sequence': ['N315', 'N256', 'N186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.09130859375 logZ --- 1.0
observation --- [200, 222, 266, 867] info --- {'sequence': ['N621', 'N385', 'N25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.68470001220703 logZ --- 1.0
observation --- [266, 395, 136, 867] info --- {'sequence': ['N25', 'N708', 'N519', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1478508075927043 loss --- 148.383544921875 logZ --- 1.0
observation --- [77, 263, 686, 867] info --- {'sequence': ['N477', 'N76', 'N126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.2777522877171537 loss --- 142.1197509765625 logZ --- 1.0
observation --- [792, 659, 191, 867] info --- {'sequence': ['N277', 'N313', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0683686531385932 loss --- 140.66104125976562 logZ --- 0.9950000047683716
observation --- [826, 756, 214, 867] info --- {'sequence': ['N606', 'N627', 'N592', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.14803314208984 logZ --- 0.9950000047683716
observation --- [438, 449, 84, 867] info --- {'sequence': ['N130', 'N562', 'N410', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.61617279052734 logZ --- 0.9950000047683716
observation --- [154, 44, 147, 867] info --- {'sequence': ['N488', 'N719', 'N535', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.4403678164916596 loss --- 149.82460021972656 logZ --- 0.9950000047683716
observation --- [55, 674, 65, 867] info --- {'sequence': ['N81', 'N32', 'N186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.3625717163086 logZ --- 0.9950000047683716
observation --- [77, 57, 122, 867] info --- {'sequence': ['N477', 'N34', 'N245', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 71.62117767333984 logZ --- 0.9903207421302795
observation --- [357, 406, 438, 867] info --- {'sequence': ['N495', 'N367', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.50880432128906 logZ --- 0.9903207421302795
observation --- [266, 841, 681, 867] info --- {'sequence': ['N25', 'N73', 'N353', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.755218505859375 logZ --- 0.9903207421302795
observation --- [482, 387, 415, 867] info --- {'sequence': ['N499', 'N113', 'N386', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0629535949789053 loss --- 139.8264923095703 logZ --- 0.9903207421302795
observation --- [2, 159, 795, 867] info --- {'sequence': ['N80', 'N461', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0797299500683673 loss --- 151.25067138671875 logZ --- 0.9903207421302795
observation --- [249, 699, 84, 867] info --- {'sequence': ['N321', 'N219', 'N410', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.131115568556521 loss --- 136.44065856933594 logZ --- 0.9854985475540161
observation --- [67, 113, 792, 867] info --- {'sequence': ['N157', 'N515', 'N277', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0182772521587535 loss --- 145.68014526367188 logZ --- 0.9854985475540161
observation --- [356, 406, 316, 867] info --- {'sequence': ['N48', 'N367', 'N110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.4915950068708734 loss --- 145.76451110839844 logZ --- 0.9854985475540161
observation --- [19, 54, 519, 867] info --- {'sequence': ['N639', 'N93', 'N456', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.2013410915845815 loss --- 139.3392791748047 logZ --- 0.9854985475540161
observation --- [458, 807, 65, 867] info --- {'sequence': ['N610', 'N99', 'N186', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.3219963926605844 loss --- 146.4730224609375 logZ --- 0.9854985475540161
observation --- [602, 710, 215, 867] info --- {'sequence': ['N19', 'N404', 'N176', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 67.92164611816406 logZ --- 0.988329291343689
observation --- [826, 387, 861, 867] info --- {'sequence': ['N606', 'N113', 'N558', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 68.06684112548828 logZ --- 0.988329291343689
