observation --- [464, 25, 321, 208, 496, 868] info --- {'sequence': ['N662', 'N677', 'N231', 'E158', 'E65', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.5704529285430908 logZ --- 1.0
observation --- [598, 383, 415, 781, 246, 868] info --- {'sequence': ['N312', 'N103', 'N386', 'E138', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.6200757622718811 logZ --- 1.0
observation --- [761, 374, 147, 842, 40, 868] info --- {'sequence': ['N327', 'N142', 'N535', 'E68', 'E123', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.44013333320617676 logZ --- 1.0
observation --- [461, 476, 512, 561, 632, 868] info --- {'sequence': ['N359', 'N585', 'N96', 'E216', 'E143', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1023711842369313 loss --- 382.4556884765625 logZ --- 1.0
observation --- [54, 374, 792, 682, 832, 868] info --- {'sequence': ['N93', 'N142', 'N277', 'E209', 'E149', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.1319926679134369 logZ --- 1.0
observation --- [766, 383, 147, 126, 11, 868] info --- {'sequence': ['N310', 'N103', 'N535', 'E112', 'E25', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2107607068952524 loss --- 406.9747314453125 logZ --- 1.0049999952316284
observation --- [807, 374, 626, 472, 402, 868] info --- {'sequence': ['N99', 'N142', 'N216', 'E131', 'E61', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.0020253502298146486 logZ --- 1.0049999952316284
observation --- [251, 25, 778, 606, 791, 868] info --- {'sequence': ['N304', 'N677', 'N687', 'E110', 'E177', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.8317309617996216 logZ --- 1.0049999952316284
observation --- [653, 25, 21, 400, 815, 868] info --- {'sequence': ['N600', 'N677', 'N411', 'E63', 'E156', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.661475658416748 logZ --- 1.0049999952316284
observation --- [9, 383, 67, 366, 5, 868] info --- {'sequence': ['N238', 'N103', 'N157', 'E170', 'E56', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0992412420236735 loss --- 365.14202880859375 logZ --- 1.0049999952316284
observation --- [433, 25, 214, 548, 634, 868] info --- {'sequence': ['N649', 'N677', 'N592', 'E226', 'E172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.36698052287101746 logZ --- 1.009826421737671
observation --- [461, 25, 357, 210, 547, 868] info --- {'sequence': ['N359', 'N677', 'N495', 'E17', 'E125', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.6227411031723022 logZ --- 1.009826421737671
observation --- [372, 25, 21, 47, 465, 868] info --- {'sequence': ['N607', 'N677', 'N411', 'E8', 'E45', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.6370724439620972 logZ --- 1.009826421737671
observation --- [666, 374, 575, 328, 822, 868] info --- {'sequence': ['N466', 'N142', 'N571', 'E102', 'E48', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 0.5653818845748901 logZ --- 1.009826421737671
