observation --- [454, 476, 356, 867] info --- {'sequence': ['N520', 'N585', 'N48', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.19548797607422 logZ --- 1.0
observation --- [433, 374, 39, 867] info --- {'sequence': ['N649', 'N142', 'N416', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 137.48777770996094 logZ --- 1.0
observation --- [28, 476, 591, 867] info --- {'sequence': ['N39', 'N585', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.30032348632812 logZ --- 1.0
observation --- [44, 476, 219, 867] info --- {'sequence': ['N719', 'N585', 'N611', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 132.50802612304688 logZ --- 1.0
observation --- [50, 25, 570, 867] info --- {'sequence': ['N435', 'N677', 'N516', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.33338165283203 logZ --- 1.0
observation --- [814, 476, 704, 867] info --- {'sequence': ['N190', 'N585', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 135.3769073486328 logZ --- 0.9950000047683716
observation --- [88, 383, 200, 867] info --- {'sequence': ['N168', 'N103', 'N621', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 134.13055419921875 logZ --- 0.9950000047683716
observation --- [461, 383, 812, 867] info --- {'sequence': ['N359', 'N103', 'N415', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.54473876953125 logZ --- 0.9950000047683716
observation --- [50, 374, 191, 867] info --- {'sequence': ['N435', 'N142', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.44221496582031 logZ --- 0.9950000047683716
observation --- [814, 476, 89, 867] info --- {'sequence': ['N190', 'N585', 'N473', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.36865997314453 logZ --- 0.9950000047683716
observation --- [699, 476, 249, 867] info --- {'sequence': ['N219', 'N585', 'N321', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.08294677734375 logZ --- 0.9899989366531372
observation --- [718, 374, 591, 867] info --- {'sequence': ['N388', 'N142', 'N137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 132.59017944335938 logZ --- 0.9899989366531372
observation --- [464, 25, 55, 867] info --- {'sequence': ['N662', 'N677', 'N81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 128.5991668701172 logZ --- 0.9899989366531372
observation --- [807, 476, 434, 867] info --- {'sequence': ['N99', 'N585', 'N377', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 125.55828857421875 logZ --- 0.9899989366531372
observation --- [807, 374, 122, 867] info --- {'sequence': ['N99', 'N142', 'N245', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 129.82106018066406 logZ --- 0.9899989366531372
observation --- [461, 383, 795, 867] info --- {'sequence': ['N359', 'N103', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 134.4129180908203 logZ --- 0.9849982857704163
observation --- [433, 374, 657, 867] info --- {'sequence': ['N649', 'N142', 'N484', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 133.33485412597656 logZ --- 0.9849982857704163
observation --- [372, 374, 575, 867] info --- {'sequence': ['N607', 'N142', 'N571', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 135.66639709472656 logZ --- 0.9849982857704163
observation --- [44, 383, 191, 867] info --- {'sequence': ['N719', 'N103', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 120.3406753540039 logZ --- 0.9849982857704163
observation --- [454, 25, 681, 867] info --- {'sequence': ['N520', 'N677', 'N353', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 123.7210464477539 logZ --- 0.9849982857704163
observation --- [756, 476, 812, 867] info --- {'sequence': ['N627', 'N585', 'N415', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.91830444335938 logZ --- 0.9799976348876953
observation --- [342, 374, 843, 867] info --- {'sequence': ['N437', 'N142', 'N320', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 126.58296966552734 logZ --- 0.9799976348876953
observation --- [317, 383, 489, 867] info --- {'sequence': ['N2', 'N103', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 121.82233428955078 logZ --- 0.9799976348876953
observation --- [710, 383, 200, 867] info --- {'sequence': ['N404', 'N103', 'N621', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 134.88070678710938 logZ --- 0.9799976348876953
observation --- [159, 383, 84, 867] info --- {'sequence': ['N461', 'N103', 'N410', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 124.87007904052734 logZ --- 0.9799976348876953
