observation --- [732, 209, 136, 709, 17, 868] info --- {'sequence': ['N390', 'N588', 'N519', 'E1', 'E219', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3366658574787984 loss --- 551.5472412109375 logZ --- 1.0
observation --- [150, 863, 153, 243, 142, 868] info --- {'sequence': ['N302', 'N293', 'N117', 'E15', 'E210', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0052837902419747 loss --- 549.8688354492188 logZ --- 1.0
observation --- [478, 394, 438, 457, 47, 868] info --- {'sequence': ['N4', 'N443', 'N130', 'E130', 'E8', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1053562969066018 loss --- 527.1234741210938 logZ --- 1.0
observation --- [172, 538, 67, 726, 615, 868] info --- {'sequence': ['N409', 'N578', 'N157', 'E234', 'E141', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.234623444069572 loss --- 546.7144165039062 logZ --- 1.0
observation --- [114, 445, 84, 225, 827, 868] info --- {'sequence': ['N355', 'N350', 'N410', 'E78', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.234601943850695 loss --- 522.1419677734375 logZ --- 1.0
observation --- [128, 399, 64, 832, 618, 868] info --- {'sequence': ['N317', 'N625', 'N285', 'E149', 'E118', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.342910766601562 logZ --- 1.0049999952316284
observation --- [760, 119, 316, 124, 716, 868] info --- {'sequence': ['N513', 'N229', 'N110', 'E135', 'E196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2250678397097172 loss --- 517.3984985351562 logZ --- 1.0049999952316284
observation --- [261, 221, 266, 457, 858, 868] info --- {'sequence': ['N618', 'N637', 'N25', 'E130', 'E142', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1547418103725706 loss --- 536.2827758789062 logZ --- 1.0049999952316284
observation --- [830, 448, 575, 245, 189, 868] info --- {'sequence': ['N282', 'N545', 'N571', 'E230', 'E66', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.745925426483154 logZ --- 1.0049999952316284
observation --- [754, 92, 77, 506, 285, 868] info --- {'sequence': ['N194', 'N131', 'N477', 'E127', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.059777540008187 loss --- 531.6851806640625 logZ --- 1.0049999952316284
observation --- [81, 20, 434, 639, 118, 868] info --- {'sequence': ['N276', 'N228', 'N377', 'E6', 'E224', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.084737233291496 loss --- 509.8662109375 logZ --- 1.0098326206207275
observation --- [176, 51, 626, 719, 124, 868] info --- {'sequence': ['N547', 'N124', 'N216', 'E49', 'E135', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.393567085266113 logZ --- 1.0098326206207275
observation --- [665, 538, 39, 480, 819, 868] info --- {'sequence': ['N342', 'N578', 'N416', 'E176', 'E137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1573586571758196 loss --- 552.4893798828125 logZ --- 1.0098326206207275
observation --- [642, 594, 481, 6, 522, 868] info --- {'sequence': ['N27', 'N84', 'N246', 'E23', 'E183', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.752800941467285 logZ --- 1.0098326206207275
observation --- [852, 382, 295, 819, 277, 868] info --- {'sequence': ['N210', 'N191', 'N679', 'E137', 'E132', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.782371520996094 logZ --- 1.0098326206207275
observation --- [407, 675, 147, 232, 195, 868] info --- {'sequence': ['N255', 'N642', 'N535', 'E215', 'E81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.5548382033251242 loss --- 545.4244384765625 logZ --- 1.014487385749817
observation --- [81, 594, 489, 5, 750, 868] info --- {'sequence': ['N276', 'N84', 'N429', 'E56', 'E64', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3040823586708976 loss --- 531.8677368164062 logZ --- 1.014487385749817
observation --- [261, 71, 843, 135, 158, 868] info --- {'sequence': ['N618', 'N262', 'N320', 'E194', 'E34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0595143990892357 loss --- 559.470703125 logZ --- 1.014487385749817
observation --- [566, 749, 489, 606, 440, 868] info --- {'sequence': ['N17', 'N241', 'N429', 'E110', 'E30', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2431482492669252 loss --- 517.156494140625 logZ --- 1.014487385749817
observation --- [767, 648, 297, 443, 700, 868] info --- {'sequence': ['N259', 'N111', 'N713', 'E47', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 16.611181259155273 logZ --- 1.014487385749817
observation --- [30, 445, 458, 472, 112, 868] info --- {'sequence': ['N29', 'N350', 'N610', 'E131', 'E37', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0191077365383538 loss --- 533.7314453125 logZ --- 1.019268274307251
observation --- [164, 621, 356, 837, 662, 868] info --- {'sequence': ['N292', 'N21', 'N48', 'E139', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0491598164937972 loss --- 494.7480773925781 logZ --- 1.019268274307251
observation --- [30, 190, 458, 27, 27, 868] info --- {'sequence': ['N29', 'N78', 'N610', 'E73', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0201314159683872 loss --- 504.5015869140625 logZ --- 1.019268274307251
observation --- [123, 538, 266, 194, 759, 868] info --- {'sequence': ['N90', 'N578', 'N25', 'E36', 'E38', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3561607541194636 loss --- 535.144287109375 logZ --- 1.019268274307251
observation --- [290, 80, 65, 568, 612, 868] info --- {'sequence': ['N512', 'N672', 'N186', 'E154', 'E157', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1585221871943254 loss --- 511.79949951171875 logZ --- 1.019268274307251
observation --- [234, 346, 485, 649, 508, 868] info --- {'sequence': ['N153', 'N656', 'N79', 'E101', 'E155', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.578241348266602 logZ --- 1.0241421461105347
observation --- [231, 257, 438, 636, 836, 868] info --- {'sequence': ['N211', 'N348', 'N130', 'E82', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.1634521484375 logZ --- 1.0241421461105347
observation --- [601, 675, 854, 431, 175, 868] info --- {'sequence': ['N128', 'N642', 'N60', 'E168', 'E184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.7364320755004883 logZ --- 1.0241421461105347
observation --- [376, 445, 424, 751, 195, 868] info --- {'sequence': ['N201', 'N350', 'N18', 'E50', 'E81', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.98118782043457 logZ --- 1.0241421461105347
observation --- [705, 132, 19, 491, 725, 868] info --- {'sequence': ['N539', 'N664', 'N639', 'E39', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.265932192445753 loss --- 540.9686889648438 logZ --- 1.0241421461105347
observation --- [308, 218, 438, 47, 808, 868] info --- {'sequence': ['N193', 'N120', 'N130', 'E8', 'E2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2203074847094602 loss --- 512.1614990234375 logZ --- 1.0287094116210938
observation --- [818, 603, 597, 599, 620, 868] info --- {'sequence': ['N335', 'N224', 'N440', 'E174', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1516850752561938 loss --- 539.8148193359375 logZ --- 1.0287094116210938
observation --- [493, 190, 67, 579, 5, 868] info --- {'sequence': ['N557', 'N78', 'N157', 'E173', 'E56', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1273379574703446 loss --- 552.5548095703125 logZ --- 1.0287094116210938
observation --- [376, 119, 153, 27, 167, 868] info --- {'sequence': ['N201', 'N229', 'N117', 'E73', 'E193', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.578222751617432 logZ --- 1.0287094116210938
observation --- [15, 675, 65, 120, 305, 868] info --- {'sequence': ['N207', 'N642', 'N186', 'E191', 'E7', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2062929794113222 loss --- 495.37005615234375 logZ --- 1.0287094116210938
observation --- [211, 397, 356, 791, 791, 868] info --- {'sequence': ['N500', 'N209', 'N48', 'E177', 'E177', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.238195808910256 loss --- 508.4972229003906 logZ --- 1.0333815813064575
observation --- [211, 80, 422, 750, 604, 868] info --- {'sequence': ['N500', 'N672', 'N579', 'E64', 'E4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1979015701967368 loss --- 516.0548706054688 logZ --- 1.0333815813064575
observation --- [186, 450, 154, 315, 467, 868] info --- {'sequence': ['N561', 'N635', 'N488', 'E99', 'E10', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.396014690091126 loss --- 522.07177734375 logZ --- 1.0333815813064575
observation --- [248, 71, 21, 262, 548, 868] info --- {'sequence': ['N174', 'N262', 'N411', 'E228', 'E226', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 12.884458541870117 logZ --- 1.0333815813064575
observation --- [105, 675, 778, 157, 245, 868] info --- {'sequence': ['N417', 'N642', 'N687', 'E5', 'E230', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.113754115027142 loss --- 507.1487731933594 logZ --- 1.0333815813064575
observation --- [172, 619, 556, 662, 436, 868] info --- {'sequence': ['N409', 'N329', 'N717', 'E13', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.01137638092041 logZ --- 1.038129210472107
observation --- [576, 190, 481, 275, 161, 868] info --- {'sequence': ['N455', 'N78', 'N246', 'E207', 'E85', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.4658308029174805 logZ --- 1.038129210472107
observation --- [128, 399, 602, 331, 799, 868] info --- {'sequence': ['N317', 'N625', 'N19', 'E20', 'E166', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.491793632507324 logZ --- 1.038129210472107
observation --- [373, 503, 575, 232, 620, 868] info --- {'sequence': ['N538', 'N171', 'N571', 'E215', 'E229', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.19979840769135 loss --- 495.4426574707031 logZ --- 1.038129210472107
observation --- [818, 197, 519, 345, 275, 868] info --- {'sequence': ['N335', 'N647', 'N456', 'E58', 'E207', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0583300890230531 loss --- 524.8766479492188 logZ --- 1.038129210472107
observation --- [324, 448, 740, 227, 819, 868] info --- {'sequence': ['N42', 'N545', 'N150', 'E175', 'E137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.3756279945373535 logZ --- 1.0427577495574951
