observation --- [407, 621, 424, 867] info --- {'sequence': ['N255', 'N21', 'N18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.0506362915039 logZ --- 1.0
observation --- [31, 619, 586, 867] info --- {'sequence': ['N616', 'N329', 'N682', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.96077346801758 logZ --- 1.0
observation --- [247, 221, 704, 867] info --- {'sequence': ['N524', 'N637', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.10346221923828 logZ --- 1.0
observation --- [455, 218, 853, 867] info --- {'sequence': ['N564', 'N120', 'N298', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.19813537597656 logZ --- 1.0
observation --- [509, 38, 854, 867] info --- {'sequence': ['N202', 'N586', 'N60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.790870666503906 logZ --- 1.0
observation --- [455, 503, 854, 867] info --- {'sequence': ['N564', 'N171', 'N60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.03986358642578 logZ --- 0.9950000047683716
observation --- [31, 394, 512, 867] info --- {'sequence': ['N616', 'N443', 'N96', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.36932373046875 logZ --- 0.9950000047683716
observation --- [493, 542, 438, 867] info --- {'sequence': ['N557', 'N587', 'N130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.78463745117188 logZ --- 0.9950000047683716
observation --- [186, 445, 585, 867] info --- {'sequence': ['N561', 'N350', 'N20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 48.95177459716797 logZ --- 0.9950000047683716
observation --- [146, 707, 489, 867] info --- {'sequence': ['N503', 'N149', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.05030059814453 logZ --- 0.9950000047683716
observation --- [239, 800, 795, 867] info --- {'sequence': ['N420', 'N169', 'N408', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.97245407104492 logZ --- 0.9900022149085999
observation --- [576, 514, 489, 867] info --- {'sequence': ['N455', 'N35', 'N429', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.89679718017578 logZ --- 0.9900022149085999
observation --- [261, 197, 415, 867] info --- {'sequence': ['N618', 'N647', 'N386', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1600624227241283 loss --- 149.28407287597656 logZ --- 0.9900022149085999
observation --- [306, 360, 485, 867] info --- {'sequence': ['N614', 'N69', 'N79', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.9344482421875 logZ --- 0.9900022149085999
