observation --- [509, 640, 147, 673, 400, 868] info --- {'sequence': ['N202', 'N460', 'N535', 'E16', 'E63', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.6618460665297092 loss --- 584.967529296875 logZ --- 1.0
observation --- [128, 105, 485, 832, 579, 868] info --- {'sequence': ['N317', 'N417', 'N79', 'E149', 'E173', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0672582767290022 loss --- 529.8800048828125 logZ --- 1.0
observation --- [171, 455, 215, 195, 5, 868] info --- {'sequence': ['N100', 'N564', 'N176', 'E81', 'E56', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.503679275512695 logZ --- 1.0
observation --- [407, 525, 334, 612, 791, 868] info --- {'sequence': ['N255', 'N525', 'N163', 'E157', 'E177', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3161099549654593 loss --- 554.6708374023438 logZ --- 1.0
observation --- [661, 30, 316, 457, 862, 868] info --- {'sequence': ['N597', 'N29', 'N110', 'E130', 'E18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.075818488326899 loss --- 511.5775451660156 logZ --- 1.0
observation --- [566, 373, 153, 109, 662, 868] info --- {'sequence': ['N17', 'N538', 'N117', 'E40', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1089871445414161 loss --- 549.669189453125 logZ --- 1.0049999952316284
observation --- [479, 231, 419, 700, 837, 868] info --- {'sequence': ['N624', 'N211', 'N225', 'E60', 'E139', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.941980361938477 logZ --- 1.0049999952316284
observation --- [729, 848, 591, 672, 453, 868] info --- {'sequence': ['N12', 'N581', 'N137', 'E201', 'E27', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2184941916553755 loss --- 502.15277099609375 logZ --- 1.0049999952316284
observation --- [202, 757, 861, 193, 420, 868] info --- {'sequence': ['N376', 'N464', 'N558', 'E77', 'E12', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3785577395189275 loss --- 568.1636352539062 logZ --- 1.0049999952316284
observation --- [856, 172, 316, 781, 510, 868] info --- {'sequence': ['N603', 'N409', 'N110', 'E138', 'E190', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0690127530058378 loss --- 559.1829223632812 logZ --- 1.0049999952316284
observation --- [176, 361, 540, 687, 774, 868] info --- {'sequence': ['N547', 'N424', 'N695', 'E120', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0160210479770448 loss --- 539.0668334960938 logZ --- 1.0099998712539673
