observation --- [525, 176, 635, 867] info --- {'sequence': ['N525', 'N547', 'N641', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.79631042480469 logZ --- 1.0
observation --- [186, 856, 704, 867] info --- {'sequence': ['N561', 'N603', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.5454216003418 logZ --- 1.0
observation --- [114, 848, 458, 867] info --- {'sequence': ['N355', 'N581', 'N610', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.31716537475586 logZ --- 1.0
observation --- [141, 535, 704, 867] info --- {'sequence': ['N13', 'N136', 'N485', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.46438980102539 logZ --- 1.0
observation --- [164, 736, 59, 867] info --- {'sequence': ['N292', 'N631', 'N23', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.47981643676758 logZ --- 1.0
observation --- [830, 376, 602, 867] info --- {'sequence': ['N282', 'N201', 'N19', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.9911003112793 logZ --- 0.9950000047683716
observation --- [306, 835, 39, 867] info --- {'sequence': ['N614', 'N689', 'N416', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.4031259603203419 loss --- 168.25047302246094 logZ --- 0.9950000047683716
observation --- [82, 697, 861, 867] info --- {'sequence': ['N718', 'N623', 'N558', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.338356018066406 logZ --- 0.9950000047683716
observation --- [141, 830, 737, 867] info --- {'sequence': ['N13', 'N282', 'N333', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.41218948364258 logZ --- 0.9950000047683716
observation --- [732, 97, 214, 867] info --- {'sequence': ['N390', 'N112', 'N592', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.25874328613281 logZ --- 0.9950000047683716
observation --- [373, 525, 84, 867] info --- {'sequence': ['N538', 'N525', 'N410', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.51275634765625 logZ --- 0.9903892278671265
observation --- [247, 705, 191, 867] info --- {'sequence': ['N524', 'N539', 'N474', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.41651153564453 logZ --- 0.9903892278671265
observation --- [248, 493, 153, 867] info --- {'sequence': ['N174', 'N557', 'N117', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.30508804321289 logZ --- 0.9903892278671265
