observation --- [829, 601, 370, 47, 634, 819, 868] info --- {'sequence': ['N116', 'N128', 'N256', 'E8', 'E172', 'E137', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 83.14860534667969 logZ --- 1.0
observation --- [536, 150, 386, 194, 286, 582, 868] info --- {'sequence': ['N336', 'N302', 'N514', 'E36', 'E54', 'E178', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.032925338255331 loss --- 849.959228515625 logZ --- 1.0
observation --- [108, 666, 756, 693, 33, 716, 868] info --- {'sequence': ['N16', 'N466', 'N627', 'E95', 'E162', 'E196', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 80.77027130126953 logZ --- 1.0
observation --- [492, 659, 449, 402, 496, 262, 868] info --- {'sequence': ['N248', 'N313', 'N562', 'E61', 'E65', 'E228', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 78.52144622802734 logZ --- 1.0
observation --- [859, 760, 674, 312, 99, 70, 868] info --- {'sequence': ['N540', 'N513', 'N32', 'E153', 'E21', 'E92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0396742356061937 loss --- 869.5896606445312 logZ --- 1.0
observation --- [379, 50, 372, 286, 510, 404, 868] info --- {'sequence': ['N162', 'N435', 'N607', 'E54', 'E190', 'E122', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.119785129433751 loss --- 820.29150390625 logZ --- 1.0049999952316284
observation --- [287, 144, 710, 557, 17, 613, 868] info --- {'sequence': ['N425', 'N257', 'N404', 'E114', 'E219', 'E115', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 86.55168914794922 logZ --- 1.0049999952316284
observation --- [224, 289, 386, 791, 615, 788, 868] info --- {'sequence': ['N493', 'N580', 'N514', 'E177', 'E141', 'E167', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 94.47238159179688 logZ --- 1.0049999952316284
observation --- [539, 50, 387, 664, 759, 27, 868] info --- {'sequence': ['N339', 'N435', 'N113', 'E195', 'E38', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 81.91777801513672 logZ --- 1.0049999952316284
observation --- [371, 307, 569, 634, 846, 584, 868] info --- {'sequence': ['N634', 'N688', 'N434', 'E172', 'E32', 'E182', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 78.32621765136719 logZ --- 1.0049999952316284
observation --- [855, 856, 714, 470, 647, 654, 868] info --- {'sequence': ['N659', 'N603', 'N697', 'E205', 'E52', 'E145', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 96.217041015625 logZ --- 1.0099223852157593
observation --- [703, 41, 44, 693, 528, 700, 868] info --- {'sequence': ['N570', 'N551', 'N719', 'E95', 'E26', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 81.56733703613281 logZ --- 1.0099223852157593
observation --- [782, 674, 814, 774, 354, 636, 868] info --- {'sequence': ['N250', 'N32', 'N190', 'E161', 'E148', 'E82', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0344710362639882 loss --- 899.1631469726562 logZ --- 1.0099223852157593
observation --- [427, 830, 9, 796, 589, 846, 868] info --- {'sequence': ['N182', 'N282', 'N238', 'E59', 'E121', 'E32', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1380056659355218 loss --- 805.7927856445312 logZ --- 1.0099223852157593
observation --- [790, 852, 449, 189, 673, 664, 868] info --- {'sequence': ['N108', 'N210', 'N562', 'E66', 'E16', 'E195', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 84.27584075927734 logZ --- 1.0099223852157593
observation --- [37, 509, 449, 166, 124, 331, 868] info --- {'sequence': ['N628', 'N202', 'N562', 'E14', 'E135', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 66.76438903808594 logZ --- 1.0148890018463135
observation --- [486, 172, 834, 667, 589, 847, 868] info --- {'sequence': ['N220', 'N409', 'N371', 'E134', 'E121', 'E221', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 80.23650360107422 logZ --- 1.0148890018463135
observation --- [325, 290, 490, 612, 763, 534, 868] info --- {'sequence': ['N40', 'N512', 'N158', 'E157', 'E211', 'E126', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 83.76898956298828 logZ --- 1.0148890018463135
