observation --- [416, 588, 562, 867] info --- {'sequence': ['N552', 'N271', 'N68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.396514892578125 logZ --- 1.0
observation --- [396, 501, 433, 867] info --- {'sequence': ['N678', 'N91', 'N649', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 46.843624114990234 logZ --- 1.0
observation --- [770, 760, 559, 867] info --- {'sequence': ['N152', 'N513', 'N129', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.20539855957031 logZ --- 1.0
observation --- [730, 128, 807, 867] info --- {'sequence': ['N486', 'N317', 'N99', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.96358108520508 logZ --- 1.0
observation --- [727, 248, 179, 867] info --- {'sequence': ['N613', 'N174', 'N161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.81296920776367 logZ --- 1.0
observation --- [838, 661, 598, 867] info --- {'sequence': ['N643', 'N597', 'N312', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 42.33195114135742 logZ --- 0.9950000047683716
observation --- [469, 552, 814, 867] info --- {'sequence': ['N480', 'N305', 'N190', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.575679779052734 logZ --- 0.9950000047683716
observation --- [616, 433, 387, 867] info --- {'sequence': ['N244', 'N649', 'N113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 40.99412155151367 logZ --- 0.9950000047683716
observation --- [475, 478, 569, 867] info --- {'sequence': ['N406', 'N4', 'N434', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 43.671634674072266 logZ --- 0.9950000047683716
observation --- [240, 455, 386, 867] info --- {'sequence': ['N491', 'N564', 'N514', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.37637710571289 logZ --- 0.9950000047683716
observation --- [177, 239, 88, 867] info --- {'sequence': ['N85', 'N420', 'N168', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 53.14699172973633 logZ --- 0.9900106191635132
