observation --- [740, 134, 658, 201, 175, 118, 868] info --- {'sequence': ['N150', 'N693', 'N671', 'E19', 'E184', 'E224', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 45.16572189331055 logZ --- 1.0
observation --- [249, 370, 268, 694, 315, 833, 868] info --- {'sequence': ['N321', 'N256', 'N391', 'E206', 'E99', 'E89', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 41.13412857055664 logZ --- 1.0
observation --- [519, 52, 554, 188, 622, 589, 868] info --- {'sequence': ['N456', 'N7', 'N206', 'E35', 'E147', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.250212485733448 loss --- 706.8989868164062 logZ --- 1.0
observation --- [321, 395, 199, 246, 17, 305, 868] info --- {'sequence': ['N231', 'N708', 'N482', 'E185', 'E219', 'E7', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.095171233962798 loss --- 689.245849609375 logZ --- 1.0
observation --- [429, 85, 844, 491, 189, 662, 868] info --- {'sequence': ['N63', 'N218', 'N300', 'E39', 'E66', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0360355220153539 loss --- 714.4154052734375 logZ --- 1.0
observation --- [77, 52, 668, 293, 208, 246, 868] info --- {'sequence': ['N477', 'N7', 'N651', 'E9', 'E158', 'E185', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 36.75538635253906 logZ --- 1.0049999952316284
observation --- [39, 714, 199, 508, 33, 862, 868] info --- {'sequence': ['N416', 'N697', 'N482', 'E155', 'E162', 'E18', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 33.483394622802734 logZ --- 1.0049999952316284
observation --- [200, 34, 530, 529, 632, 673, 868] info --- {'sequence': ['N621', 'N57', 'N254', 'E129', 'E143', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1009977824735317 loss --- 671.6608276367188 logZ --- 1.0049999952316284
observation --- [737, 102, 551, 227, 649, 673, 868] info --- {'sequence': ['N333', 'N395', 'N133', 'E175', 'E101', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 34.05622863769531 logZ --- 1.0049999952316284
observation --- [249, 841, 268, 188, 388, 592, 868] info --- {'sequence': ['N321', 'N73', 'N391', 'E35', 'E28', 'E41', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1309322583702497 loss --- 705.7677612304688 logZ --- 1.0049999952316284
observation --- [24, 558, 268, 452, 634, 115, 868] info --- {'sequence': ['N160', 'N3', 'N391', 'E67', 'E172', 'E33', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1122193328849743 loss --- 676.0064697265625 logZ --- 1.0099170207977295
observation --- [482, 265, 839, 582, 491, 662, 868] info --- {'sequence': ['N499', 'N398', 'N364', 'E178', 'E39', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0846174651908553 loss --- 717.4110717773438 logZ --- 1.0099170207977295
observation --- [556, 85, 658, 405, 400, 618, 868] info --- {'sequence': ['N717', 'N218', 'N671', 'E119', 'E63', 'E118', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 43.449222564697266 logZ --- 1.0099170207977295
observation --- [39, 323, 530, 40, 278, 721, 868] info --- {'sequence': ['N416', 'N89', 'N254', 'E123', 'E197', 'E217', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 43.02240753173828 logZ --- 1.0099170207977295
observation --- [540, 699, 199, 677, 452, 649, 868] info --- {'sequence': ['N695', 'N219', 'N482', 'E189', 'E67', 'E101', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 37.44019317626953 logZ --- 1.0099170207977295
observation --- [438, 134, 206, 862, 117, 643, 868] info --- {'sequence': ['N130', 'N693', 'N172', 'E18', 'E42', 'E107', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 41.287967681884766 logZ --- 1.0148305892944336
observation --- [657, 756, 466, 662, 331, 484, 868] info --- {'sequence': ['N484', 'N627', 'N332', 'E13', 'E20', 'E109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 43.37035369873047 logZ --- 1.0148305892944336
observation --- [316, 28, 844, 561, 232, 673, 868] info --- {'sequence': ['N110', 'N39', 'N300', 'E216', 'E215', 'E16', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.126749898748731 loss --- 685.4488525390625 logZ --- 1.0148305892944336
observation --- [626, 220, 676, 168, 315, 738, 868] info --- {'sequence': ['N216', 'N164', 'N383', 'E159', 'E99', 'E11', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 38.28879165649414 logZ --- 1.0148305892944336
observation --- [419, 617, 551, 847, 639, 783, 868] info --- {'sequence': ['N225', 'N346', 'N133', 'E221', 'E6', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 36.20610427856445 logZ --- 1.0148305892944336
observation --- [153, 272, 551, 612, 620, 232, 868] info --- {'sequence': ['N117', 'N393', 'N133', 'E157', 'E229', 'E215', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.044482534001906 loss --- 680.3363037109375 logZ --- 1.0196207761764526
observation --- [21, 50, 844, 649, 791, 116, 868] info --- {'sequence': ['N411', 'N435', 'N300', 'E101', 'E177', 'E163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0537766071715329 loss --- 670.6913452148438 logZ --- 1.0196207761764526
observation --- [55, 9, 551, 755, 252, 285, 868] info --- {'sequence': ['N81', 'N238', 'N133', 'E79', 'E233', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 41.7387580871582 logZ --- 1.0196207761764526
observation --- [356, 659, 466, 110, 116, 27, 868] info --- {'sequence': ['N48', 'N313', 'N332', 'E202', 'E163', 'E73', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0655675046511153 loss --- 682.5009765625 logZ --- 1.0196207761764526
observation --- [297, 756, 138, 477, 649, 751, 868] info --- {'sequence': ['N713', 'N627', 'N242', 'E169', 'E101', 'E50', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 38.12046432495117 logZ --- 1.0196207761764526
observation --- [737, 617, 199, 110, 480, 813, 868] info --- {'sequence': ['N333', 'N346', 'N482', 'E202', 'E176', 'E203', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0742471932420725 loss --- 687.7615356445312 logZ --- 1.0244992971420288
observation --- [812, 54, 530, 5, 750, 647, 868] info --- {'sequence': ['N415', 'N93', 'N254', 'E56', 'E64', 'E52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 37.88656997680664 logZ --- 1.0244992971420288
observation --- [489, 52, 199, 867, 847, 23, 868] info --- {'sequence': ['N429', 'N7', 'N482', 'none', 'E221', 'E136', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.151119464603405 loss --- 684.093017578125 logZ --- 1.0244992971420288
observation --- [434, 830, 530, 487, 758, 17, 868] info --- {'sequence': ['N377', 'N282', 'N254', 'E181', 'E80', 'E219', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.040840937325686 loss --- 680.517333984375 logZ --- 1.0244992971420288
observation --- [737, 113, 844, 87, 582, 817, 868] info --- {'sequence': ['N333', 'N515', 'N300', 'E71', 'E178', 'E88', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0445801312112577 loss --- 658.2420043945312 logZ --- 1.0244992971420288
observation --- [200, 834, 268, 610, 599, 750, 868] info --- {'sequence': ['N621', 'N371', 'N391', 'E24', 'E174', 'E64', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 44.60678482055664 logZ --- 1.0294479131698608
observation --- [482, 523, 839, 632, 245, 135, 868] info --- {'sequence': ['N499', 'N188', 'N364', 'E143', 'E230', 'E194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1198301375565558 loss --- 711.396728515625 logZ --- 1.0294479131698608
observation --- [795, 659, 554, 40, 366, 589, 868] info --- {'sequence': ['N408', 'N313', 'N206', 'E123', 'E170', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.349556963813733 loss --- 710.5046997070312 logZ --- 1.0294479131698608
observation --- [481, 342, 199, 29, 79, 774, 868] info --- {'sequence': ['N246', 'N437', 'N482', 'E180', 'E223', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0838902541830533 loss --- 685.4415283203125 logZ --- 1.0294479131698608
observation --- [316, 288, 839, 391, 748, 633, 868] info --- {'sequence': ['N110', 'N700', 'N364', 'E220', 'E22', 'E198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 42.36674499511719 logZ --- 1.0294479131698608
observation --- [219, 113, 268, 260, 87, 252, 868] info --- {'sequence': ['N611', 'N515', 'N391', 'E83', 'E71', 'E233', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 32.28238296508789 logZ --- 1.034429907798767
observation --- [704, 588, 466, 299, 166, 487, 868] info --- {'sequence': ['N485', 'N271', 'N332', 'E225', 'E14', 'E181', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 35.82564163208008 logZ --- 1.034429907798767
observation --- [843, 552, 844, 414, 166, 87, 868] info --- {'sequence': ['N320', 'N305', 'N300', 'E188', 'E14', 'E71', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 36.293312072753906 logZ --- 1.034429907798767
observation --- [704, 52, 268, 846, 654, 404, 868] info --- {'sequence': ['N485', 'N7', 'N391', 'E32', 'E145', 'E122', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 38.064781188964844 logZ --- 1.034429907798767
observation --- [21, 34, 676, 582, 491, 457, 868] info --- {'sequence': ['N411', 'N57', 'N383', 'E178', 'E39', 'E130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3486151595136835 loss --- 701.6378173828125 logZ --- 1.034429907798767
observation --- [853, 461, 551, 764, 564, 430, 868] info --- {'sequence': ['N298', 'N359', 'N133', 'E69', 'E204', 'E111', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1014962268820123 loss --- 663.9696655273438 logZ --- 1.039258599281311
observation --- [249, 34, 199, 633, 408, 783, 868] info --- {'sequence': ['N321', 'N57', 'N482', 'E198', 'E152', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.234009708217379 loss --- 689.0230712890625 logZ --- 1.039258599281311
observation --- [2, 52, 551, 11, 87, 436, 868] info --- {'sequence': ['N80', 'N7', 'N133', 'E25', 'E71', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 32.47207260131836 logZ --- 1.039258599281311
observation --- [575, 34, 199, 817, 796, 842, 868] info --- {'sequence': ['N571', 'N57', 'N482', 'E88', 'E59', 'E68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2338333247456323 loss --- 697.96240234375 logZ --- 1.039258599281311
observation --- [67, 220, 839, 618, 632, 604, 868] info --- {'sequence': ['N157', 'N164', 'N364', 'E118', 'E143', 'E4', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.168586832871535 loss --- 695.7991943359375 logZ --- 1.039258599281311
observation --- [778, 461, 268, 79, 331, 774, 868] info --- {'sequence': ['N687', 'N359', 'N391', 'E223', 'E20', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1752685007021428 loss --- 670.584716796875 logZ --- 1.044180989265442
observation --- [295, 756, 206, 748, 167, 12, 868] info --- {'sequence': ['N679', 'N627', 'N172', 'E22', 'E193', 'E218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.061103084441653 loss --- 707.3848876953125 logZ --- 1.044180989265442
observation --- [485, 659, 839, 457, 837, 33, 868] info --- {'sequence': ['N79', 'N313', 'N364', 'E130', 'E139', 'E162', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.178586183927647 loss --- 676.0346069335938 logZ --- 1.044180989265442
