observation --- [2, 57, 268, 867] info --- {'sequence': ['N80', 'N34', 'N391', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.70994567871094 logZ --- 1.0
observation --- [778, 464, 839, 867] info --- {'sequence': ['N687', 'N662', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.1087747111823474 loss --- 99.95703125 logZ --- 1.0
observation --- [294, 265, 199, 867] info --- {'sequence': ['N315', 'N398', 'N482', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 102.54783630371094 logZ --- 1.0
observation --- [769, 113, 206, 867] info --- {'sequence': ['N51', 'N515', 'N172', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.4616470336914 logZ --- 1.0
observation --- [65, 825, 676, 867] info --- {'sequence': ['N186', 'N237', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 106.51318359375 logZ --- 1.0
observation --- [422, 653, 551, 867] info --- {'sequence': ['N579', 'N600', 'N133', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 92.5992660522461 logZ --- 0.9950000047683716
observation --- [295, 54, 268, 867] info --- {'sequence': ['N679', 'N93', 'N391', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 87.60749053955078 logZ --- 0.9950000047683716
observation --- [64, 91, 676, 867] info --- {'sequence': ['N285', 'N307', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 98.27020263671875 logZ --- 0.9950000047683716
observation --- [334, 263, 676, 867] info --- {'sequence': ['N163', 'N76', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 100.6429672241211 logZ --- 0.9950000047683716
observation --- [556, 617, 676, 867] info --- {'sequence': ['N717', 'N346', 'N383', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 102.74894714355469 logZ --- 0.9950000047683716
observation --- [169, 34, 839, 867] info --- {'sequence': ['N279', 'N57', 'N364', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 103.78614807128906 logZ --- 0.9900781512260437
observation --- [321, 9, 530, 867] info --- {'sequence': ['N231', 'N238', 'N254', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 91.95599365234375 logZ --- 0.9900781512260437
observation --- [540, 222, 554, 867] info --- {'sequence': ['N695', 'N385', 'N206', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 95.22024536132812 logZ --- 0.9900781512260437
