observation --- [422, 65, 341, 796, 331, 868] info --- {'sequence': ['N579', 'N186', 'N684', 'E59', 'E20', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3784964326598002 loss --- 485.04229736328125 logZ --- 1.0
observation --- [695, 422, 614, 822, 115, 868] info --- {'sequence': ['N196', 'N579', 'N328', 'E48', 'E33', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3368767854099248 loss --- 483.8458557128906 logZ --- 1.0
observation --- [540, 154, 688, 842, 836, 868] info --- {'sequence': ['N695', 'N488', 'N125', 'E68', 'E128', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 3.6660451889038086 logZ --- 1.0
observation --- [249, 297, 786, 822, 518, 868] info --- {'sequence': ['N321', 'N713', 'N422', 'E48', 'E232', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0629256879817743 loss --- 452.793212890625 logZ --- 1.0
observation --- [214, 740, 125, 837, 194, 868] info --- {'sequence': ['N592', 'N150', 'N197', 'E139', 'E36', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2656857486458495 loss --- 506.2970275878906 logZ --- 1.0
observation --- [191, 153, 213, 170, 518, 868] info --- {'sequence': ['N474', 'N117', 'N479', 'E212', 'E232', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 2.7042133808135986 logZ --- 1.0049999952316284
observation --- [843, 512, 337, 420, 822, 868] info --- {'sequence': ['N320', 'N96', 'N589', 'E12', 'E48', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1164400297998365 loss --- 482.377685546875 logZ --- 1.0049999952316284
observation --- [249, 586, 820, 682, 285, 868] info --- {'sequence': ['N321', 'N682', 'N457', 'E209', 'E57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.44819974899292 logZ --- 1.0049999952316284
observation --- [686, 591, 532, 634, 550, 868] info --- {'sequence': ['N126', 'N137', 'N208', 'E172', 'E108', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0128856923529341 loss --- 488.3962707519531 logZ --- 1.0049999952316284
observation --- [444, 266, 743, 5, 803, 868] info --- {'sequence': ['N10', 'N25', 'N400', 'E56', 'E91', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 1.8548089265823364 logZ --- 1.0049999952316284
observation --- [812, 39, 264, 431, 725, 868] info --- {'sequence': ['N415', 'N416', 'N554', 'E168', 'E179', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.3125404482555143 loss --- 487.94940185546875 logZ --- 1.009726643562317
