observation --- [136, 737, 337, 867] info --- {'sequence': ['N519', 'N333', 'N589', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.6962661743164 logZ --- 1.0
observation --- [482, 122, 786, 867] info --- {'sequence': ['N499', 'N245', 'N422', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.73574829101562 logZ --- 1.0
observation --- [2, 122, 473, 867] info --- {'sequence': ['N80', 'N245', 'N343', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.85367584228516 logZ --- 1.0
observation --- [586, 153, 669, 867] info --- {'sequence': ['N682', 'N117', 'N232', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.7260513305664 logZ --- 1.0
observation --- [39, 438, 708, 867] info --- {'sequence': ['N416', 'N130', 'N287', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.75817108154297 logZ --- 1.0
observation --- [214, 458, 660, 867] info --- {'sequence': ['N592', 'N610', 'N553', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0540298467024336 loss --- 129.69822692871094 logZ --- 0.9950000047683716
observation --- [778, 214, 250, 867] info --- {'sequence': ['N687', 'N592', 'N9', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.7794189453125 logZ --- 0.9950000047683716
observation --- [214, 415, 820, 867] info --- {'sequence': ['N592', 'N386', 'N457', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.3139532127946068 loss --- 117.05196380615234 logZ --- 0.9950000047683716
observation --- [489, 67, 341, 867] info --- {'sequence': ['N429', 'N157', 'N684', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0016910336420861 loss --- 114.0423812866211 logZ --- 0.9950000047683716
observation --- [792, 597, 669, 867] info --- {'sequence': ['N277', 'N440', 'N232', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 82.18578338623047 logZ --- 0.9950000047683716
observation --- [77, 575, 149, 867] info --- {'sequence': ['N477', 'N571', 'N574', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 75.99082946777344 logZ --- 0.9930533170700073
observation --- [64, 575, 22, 867] info --- {'sequence': ['N285', 'N571', 'N433', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 76.5818099975586 logZ --- 0.9930533170700073
observation --- [136, 444, 284, 867] info --- {'sequence': ['N519', 'N10', 'N92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 83.00015258789062 logZ --- 0.9930533170700073
observation --- [737, 489, 149, 867] info --- {'sequence': ['N333', 'N429', 'N574', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0467273804442956 loss --- 122.00386810302734 logZ --- 0.9930533170700073
observation --- [357, 136, 820, 867] info --- {'sequence': ['N495', 'N519', 'N457', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 84.72807312011719 logZ --- 0.9930533170700073
observation --- [297, 635, 708, 867] info --- {'sequence': ['N713', 'N641', 'N287', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 72.80105590820312 logZ --- 0.9902241826057434
observation --- [153, 297, 816, 867] info --- {'sequence': ['N117', 'N713', 'N536', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 80.27346801757812 logZ --- 0.9902241826057434
observation --- [778, 657, 62, 867] info --- {'sequence': ['N687', 'N484', 'N489', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 88.55155944824219 logZ --- 0.9902241826057434
observation --- [122, 415, 43, 867] info --- {'sequence': ['N245', 'N386', 'N645', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.2019862800959111 loss --- 123.3284912109375 logZ --- 0.9902241826057434
observation --- [792, 84, 337, 867] info --- {'sequence': ['N277', 'N410', 'N589', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 68.79346466064453 logZ --- 0.9902241826057434
observation --- [191, 219, 526, 867] info --- {'sequence': ['N474', 'N611', 'N528', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 73.87747192382812 logZ --- 0.9869076013565063
observation --- [861, 297, 149, 867] info --- {'sequence': ['N558', 'N713', 'N574', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 74.125244140625 logZ --- 0.9869076013565063
observation --- [415, 657, 149, 867] info --- {'sequence': ['N386', 'N484', 'N574', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 1.0142979000878527 loss --- 127.93846130371094 logZ --- 0.9869076013565063
observation --- [316, 24, 426, 867] info --- {'sequence': ['N110', 'N160', 'N504', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 81.48982238769531 logZ --- 0.9869076013565063
