observation --- [640, 360, 50, 225, 403, 868] info --- {'sequence': ['N460', 'N69', 'N435', 'E78', 'E116', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0967344330696944 loss --- 560.9383544921875 logZ --- 1.0
observation --- [97, 48, 834, 63, 270, 868] info --- {'sequence': ['N112', 'N281', 'N371', 'E76', 'E213', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.8058319091796875 logZ --- 1.0
observation --- [767, 798, 317, 663, 796, 868] info --- {'sequence': ['N259', 'N362', 'N2', 'E133', 'E59', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.033870931302979 loss --- 543.0111083984375 logZ --- 1.0
observation --- [202, 394, 825, 610, 452, 868] info --- {'sequence': ['N376', 'N443', 'N237', 'E24', 'E67', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0779491806171324 loss --- 510.3707580566406 logZ --- 1.0
observation --- [30, 48, 588, 632, 460, 868] info --- {'sequence': ['N29', 'N281', 'N271', 'E143', 'E192', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.171512603759766 logZ --- 1.0
observation --- [690, 514, 113, 750, 260, 868] info --- {'sequence': ['N62', 'N35', 'N515', 'E64', 'E83', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0238615894298615 loss --- 501.60369873046875 logZ --- 1.0049999952316284
observation --- [390, 573, 159, 847, 430, 868] info --- {'sequence': ['N330', 'N67', 'N461', 'E221', 'E111', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.940768241882324 logZ --- 1.0049999952316284
observation --- [732, 399, 323, 808, 158, 868] info --- {'sequence': ['N390', 'N625', 'N89', 'E2', 'E34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.936104774475098 logZ --- 1.0049999952316284
observation --- [139, 707, 588, 781, 70, 868] info --- {'sequence': ['N44', 'N149', 'N271', 'E138', 'E92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.941085338592529 logZ --- 1.0049999952316284
observation --- [145, 538, 659, 277, 116, 868] info --- {'sequence': ['N263', 'N578', 'N313', 'E132', 'E163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.40402889251709 logZ --- 1.0049999952316284
observation --- [375, 514, 659, 671, 858, 868] info --- {'sequence': ['N288', 'N35', 'N313', 'E97', 'E142', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0154255017365137 loss --- 535.8867797851562 logZ --- 1.0096049308776855
observation --- [307, 621, 44, 40, 462, 868] info --- {'sequence': ['N688', 'N21', 'N719', 'E123', 'E31', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.594925880432129 logZ --- 1.0096049308776855
observation --- [186, 133, 569, 99, 774, 868] info --- {'sequence': ['N561', 'N217', 'N434', 'E21', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0472486053214494 loss --- 542.348388671875 logZ --- 1.0096049308776855
observation --- [376, 160, 653, 109, 589, 868] info --- {'sequence': ['N201', 'N427', 'N600', 'E40', 'E121', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.122420069929417 loss --- 536.8020629882812 logZ --- 1.0096049308776855
observation --- [290, 621, 272, 805, 135, 868] info --- {'sequence': ['N512', 'N21', 'N393', 'E150', 'E194', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.37936019897461 logZ --- 1.0096049308776855
observation --- [171, 309, 387, 564, 721, 868] info --- {'sequence': ['N100', 'N374', 'N113', 'E204', 'E217', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.612008094787598 logZ --- 1.0143871307373047
observation --- [145, 162, 386, 847, 842, 868] info --- {'sequence': ['N263', 'N70', 'N514', 'E221', 'E68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.534299850463867 logZ --- 1.0143871307373047
observation --- [289, 235, 569, 170, 799, 868] info --- {'sequence': ['N580', 'N45', 'N434', 'E212', 'E166', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.374070167541504 logZ --- 1.0143871307373047
observation --- [141, 198, 272, 751, 12, 868] info --- {'sequence': ['N13', 'N199', 'N393', 'E50', 'E218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.206901550292969 logZ --- 1.0143871307373047
observation --- [373, 360, 674, 285, 474, 868] info --- {'sequence': ['N538', 'N69', 'N32', 'E57', 'E70', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.078068733215332 logZ --- 1.0143871307373047
observation --- [373, 411, 317, 693, 496, 868] info --- {'sequence': ['N538', 'N175', 'N2', 'E95', 'E65', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.506324768066406 logZ --- 1.018639087677002
observation --- [574, 221, 814, 465, 400, 868] info --- {'sequence': ['N127', 'N637', 'N190', 'E45', 'E63', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.981642246246338 logZ --- 1.018639087677002
observation --- [754, 772, 91, 803, 662, 868] info --- {'sequence': ['N194', 'N26', 'N307', 'E91', 'E13', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 14.375024795532227 logZ --- 1.018639087677002
observation --- [640, 257, 718, 491, 700, 868] info --- {'sequence': ['N460', 'N348', 'N388', 'E39', 'E60', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.5060648918151855 logZ --- 1.018639087677002
observation --- [711, 399, 251, 783, 457, 868] info --- {'sequence': ['N522', 'N625', 'N304', 'E146', 'E130', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.961534023284912 logZ --- 1.018639087677002
observation --- [665, 209, 537, 649, 436, 868] info --- {'sequence': ['N342', 'N588', 'N215', 'E101', 'E208', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 12.03835391998291 logZ --- 1.0225540399551392
observation --- [247, 271, 263, 183, 484, 868] info --- {'sequence': ['N524', 'N261', 'N76', 'E151', 'E109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.72787094116211 logZ --- 1.0225540399551392
observation --- [407, 198, 365, 5, 776, 868] info --- {'sequence': ['N255', 'N199', 'N184', 'E56', 'E105', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.00990104675293 logZ --- 1.0225540399551392
observation --- [733, 499, 464, 6, 474, 868] info --- {'sequence': ['N445', 'N189', 'N662', 'E23', 'E70', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0627652331015705 loss --- 537.7141723632812 logZ --- 1.0225540399551392
observation --- [478, 257, 88, 161, 223, 868] info --- {'sequence': ['N4', 'N348', 'N168', 'E85', 'E84', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.381546974182129 logZ --- 1.0225540399551392
observation --- [247, 441, 653, 567, 388, 868] info --- {'sequence': ['N524', 'N530', 'N600', 'E3', 'E28', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.12484721367156 loss --- 533.577880859375 logZ --- 1.0265604257583618
observation --- [729, 198, 588, 354, 776, 868] info --- {'sequence': ['N12', 'N199', 'N271', 'E148', 'E105', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0242429800107216 loss --- 491.7578430175781 logZ --- 1.0265604257583618
observation --- [736, 684, 85, 260, 117, 868] info --- {'sequence': ['N631', 'N655', 'N218', 'E83', 'E42', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.030502846541702 loss --- 519.284423828125 logZ --- 1.0265604257583618
observation --- [376, 800, 251, 465, 109, 868] info --- {'sequence': ['N201', 'N169', 'N304', 'E45', 'E40', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.617095947265625 logZ --- 1.0265604257583618
observation --- [15, 448, 9, 278, 73, 868] info --- {'sequence': ['N207', 'N545', 'N238', 'E197', 'E94', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.700675964355469 logZ --- 1.0265604257583618
observation --- [231, 258, 317, 158, 40, 868] info --- {'sequence': ['N211', 'N363', 'N2', 'E34', 'E123', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.466442108154297 logZ --- 1.030867576599121
observation --- [307, 71, 50, 846, 520, 868] info --- {'sequence': ['N688', 'N262', 'N435', 'E32', 'E113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1037921156594255 loss --- 560.0066528320312 logZ --- 1.030867576599121
observation --- [164, 71, 428, 216, 201, 868] info --- {'sequence': ['N292', 'N262', 'N492', 'E74', 'E19', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.743607521057129 logZ --- 1.030867576599121
observation --- [239, 845, 272, 126, 633, 868] info --- {'sequence': ['N420', 'N544', 'N393', 'E112', 'E198', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.939790725708008 logZ --- 1.030867576599121
observation --- [139, 51, 387, 719, 366, 868] info --- {'sequence': ['N44', 'N124', 'N113', 'E49', 'E170', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.927196502685547 logZ --- 1.030867576599121
observation --- [151, 257, 9, 567, 79, 868] info --- {'sequence': ['N575', 'N348', 'N238', 'E3', 'E223', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.9076385498046875 logZ --- 1.035158634185791
observation --- [171, 448, 395, 430, 193, 868] info --- {'sequence': ['N100', 'N545', 'N708', 'E111', 'E77', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.259558137008866 loss --- 533.101318359375 logZ --- 1.035158634185791
observation --- [835, 745, 830, 312, 568, 868] info --- {'sequence': ['N689', 'N426', 'N282', 'E153', 'E154', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 17.27525520324707 logZ --- 1.035158634185791
observation --- [665, 707, 85, 726, 631, 868] info --- {'sequence': ['N342', 'N149', 'N218', 'E234', 'E187', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 4.530974864959717 logZ --- 1.035158634185791
observation --- [82, 255, 222, 227, 779, 868] info --- {'sequence': ['N718', 'N543', 'N385', 'E175', 'E51', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.663883209228516 logZ --- 1.035158634185791
observation --- [101, 51, 220, 561, 508, 868] info --- {'sequence': ['N303', 'N124', 'N164', 'E216', 'E155', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.768915176391602 logZ --- 1.0394388437271118
observation --- [15, 397, 710, 694, 496, 868] info --- {'sequence': ['N207', 'N209', 'N404', 'E206', 'E65', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 16.32359504699707 logZ --- 1.0394388437271118
observation --- [105, 132, 91, 643, 70, 868] info --- {'sequence': ['N417', 'N664', 'N307', 'E107', 'E92', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 9.249550819396973 logZ --- 1.0394388437271118
observation --- [493, 235, 406, 615, 116, 868] info --- {'sequence': ['N557', 'N45', 'N367', 'E141', 'E163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1974331907986957 loss --- 566.7050170898438 logZ --- 1.0394388437271118
observation --- [697, 621, 159, 805, 243, 868] info --- {'sequence': ['N623', 'N21', 'N461', 'E150', 'E15', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 7.219017028808594 logZ --- 1.0394388437271118
observation --- [164, 845, 159, 70, 606, 868] info --- {'sequence': ['N292', 'N544', 'N461', 'E92', 'E110', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.153103828430176 logZ --- 1.043727993965149
observation --- [509, 80, 433, 474, 440, 868] info --- {'sequence': ['N202', 'N672', 'N649', 'E70', 'E30', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.001897295774095 loss --- 517.7066650390625 logZ --- 1.043727993965149
observation --- [139, 309, 490, 748, 462, 868] info --- {'sequence': ['N44', 'N374', 'N158', 'E22', 'E31', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0765762055833077 loss --- 524.0718994140625 logZ --- 1.043727993965149
observation --- [247, 797, 834, 709, 774, 868] info --- {'sequence': ['N524', 'N249', 'N371', 'E1', 'E161', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0613860971474487 loss --- 506.56640625 logZ --- 1.043727993965149
observation --- [186, 221, 659, 796, 858, 868] info --- {'sequence': ['N561', 'N637', 'N313', 'E59', 'E142', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.1562240573742482 loss --- 555.15869140625 logZ --- 1.043727993965149
observation --- [314, 363, 129, 467, 223, 868] info --- {'sequence': ['N365', 'N629', 'N52', 'E10', 'E84', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.048234939575195 logZ --- 1.0482650995254517
observation --- [407, 92, 134, 73, 452, 868] info --- {'sequence': ['N255', 'N131', 'N693', 'E94', 'E67', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.839237213134766 logZ --- 1.0482650995254517
observation --- [248, 340, 57, 520, 116, 868] info --- {'sequence': ['N174', 'N626', 'N34', 'E113', 'E163', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 16.12738800048828 logZ --- 1.0482650995254517
observation --- [729, 235, 263, 663, 583, 868] info --- {'sequence': ['N12', 'N45', 'N76', 'E133', 'E103', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 5.153014659881592 logZ --- 1.0482650995254517
observation --- [535, 797, 323, 166, 783, 868] info --- {'sequence': ['N136', 'N249', 'N89', 'E14', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 6.889533519744873 logZ --- 1.0482650995254517
observation --- [760, 71, 90, 589, 112, 868] info --- {'sequence': ['N513', 'N262', 'N450', 'E121', 'E37', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0856823562537858 loss --- 542.6920166015625 logZ --- 1.052531361579895
observation --- [228, 707, 85, 633, 529, 868] info --- {'sequence': ['N200', 'N149', 'N218', 'E198', 'E129', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.035549639257724 loss --- 484.6909484863281 logZ --- 1.052531361579895
observation --- [144, 735, 244, 784, 109, 868] info --- {'sequence': ['N257', 'N166', 'N601', 'E87', 'E40', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.0395495369958865 loss --- 551.626220703125 logZ --- 1.052531361579895
observation --- [234, 221, 244, 378, 687, 868] info --- {'sequence': ['N153', 'N637', 'N601', 'E29', 'E120', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.715325355529785 logZ --- 1.052531361579895
observation --- [172, 197, 90, 278, 721, 868] info --- {'sequence': ['N409', 'N647', 'N450', 'E197', 'E217', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 11.474218368530273 logZ --- 1.052531361579895
observation --- [228, 728, 251, 453, 328, 868] info --- {'sequence': ['N200', 'N326', 'N304', 'E27', 'E102', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 12.35581111907959 logZ --- 1.0570104122161865
observation --- [541, 538, 317, 331, 649, 868] info --- {'sequence': ['N87', 'N578', 'N2', 'E20', 'E101', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 1.2110027797677636 loss --- 519.8841552734375 logZ --- 1.0570104122161865
observation --- [705, 94, 454, 405, 783, 868] info --- {'sequence': ['N539', 'N462', 'N520', 'E119', 'E146', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 12.220538139343262 logZ --- 1.0570104122161865
observation --- [501, 258, 617, 759, 827, 868] info --- {'sequence': ['N91', 'N363', 'N346', 'E38', 'E98', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 8.256568908691406 logZ --- 1.0570104122161865
observation --- [30, 221, 806, 462, 858, 868] info --- {'sequence': ['N29', 'N637', 'N156', 'E31', 'E142', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [868]} reward --- 0 loss --- 10.744157791137695 logZ --- 1.0570104122161865
