observation --- [818, 72, 464, 867] info --- {'sequence': ['N335', 'N212', 'N662', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 67.21488189697266 logZ --- 1.0
observation --- [151, 45, 113, 867] info --- {'sequence': ['N575', 'N352', 'N515', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.62107849121094 logZ --- 1.0
observation --- [290, 411, 490, 867] info --- {'sequence': ['N512', 'N175', 'N158', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.76030349731445 logZ --- 1.0
observation --- [141, 363, 288, 867] info --- {'sequence': ['N13', 'N629', 'N700', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.86154556274414 logZ --- 1.0
observation --- [760, 197, 598, 867] info --- {'sequence': ['N513', 'N647', 'N312', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 51.229061126708984 logZ --- 1.0
observation --- [176, 845, 395, 867] info --- {'sequence': ['N547', 'N544', 'N708', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.91383361816406 logZ --- 0.9950000047683716
observation --- [690, 831, 226, 867] info --- {'sequence': ['N62', 'N412', 'N267', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.34729766845703 logZ --- 0.9950000047683716
observation --- [97, 320, 220, 867] info --- {'sequence': ['N112', 'N636', 'N164', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.213680267333984 logZ --- 0.9950000047683716
observation --- [541, 190, 825, 867] info --- {'sequence': ['N87', 'N78', 'N237', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.789146423339844 logZ --- 0.9950000047683716
observation --- [81, 119, 387, 867] info --- {'sequence': ['N276', 'N229', 'N113', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.22022247314453 logZ --- 0.9950000047683716
observation --- [642, 340, 251, 867] info --- {'sequence': ['N27', 'N626', 'N304', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 64.2774429321289 logZ --- 0.989999532699585
observation --- [830, 340, 710, 867] info --- {'sequence': ['N282', 'N626', 'N404', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.666263580322266 logZ --- 0.989999532699585
observation --- [145, 236, 449, 867] info --- {'sequence': ['N263', 'N370', 'N562', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.06514358520508 logZ --- 0.989999532699585
observation --- [661, 399, 365, 867] info --- {'sequence': ['N597', 'N625', 'N184', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.63261413574219 logZ --- 0.989999532699585
observation --- [856, 722, 57, 867] info --- {'sequence': ['N603', 'N430', 'N34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.569175720214844 logZ --- 0.989999532699585
observation --- [326, 742, 464, 867] info --- {'sequence': ['N710', 'N132', 'N662', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.1310920715332 logZ --- 0.9849956035614014
observation --- [164, 80, 406, 867] info --- {'sequence': ['N292', 'N672', 'N367', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.75091552734375 logZ --- 0.9849956035614014
observation --- [114, 221, 558, 867] info --- {'sequence': ['N355', 'N637', 'N3', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 47.76641845703125 logZ --- 0.9849956035614014
observation --- [733, 717, 454, 867] info --- {'sequence': ['N445', 'N204', 'N520', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.01154327392578 logZ --- 0.9849956035614014
observation --- [211, 450, 91, 867] info --- {'sequence': ['N500', 'N635', 'N307', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.5794677734375 logZ --- 0.9849956035614014
observation --- [31, 503, 386, 867] info --- {'sequence': ['N616', 'N171', 'N514', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.390525817871094 logZ --- 0.9799959659576416
observation --- [736, 255, 91, 867] info --- {'sequence': ['N631', 'N543', 'N307', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.73020553588867 logZ --- 0.9799959659576416
observation --- [848, 133, 756, 867] info --- {'sequence': ['N581', 'N217', 'N627', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.7292709350586 logZ --- 0.9799959659576416
observation --- [733, 92, 90, 867] info --- {'sequence': ['N445', 'N131', 'N450', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.629207611083984 logZ --- 0.9799959659576416
observation --- [82, 255, 85, 867] info --- {'sequence': ['N718', 'N543', 'N218', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 56.2529182434082 logZ --- 0.9799959659576416
observation --- [818, 197, 288, 867] info --- {'sequence': ['N335', 'N647', 'N700', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.71674346923828 logZ --- 0.9749918580055237
observation --- [289, 235, 653, 867] info --- {'sequence': ['N580', 'N45', 'N600', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.04732894897461 logZ --- 0.9749918580055237
observation --- [665, 412, 91, 867] info --- {'sequence': ['N342', 'N226', 'N307', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 66.46318054199219 logZ --- 0.9749918580055237
observation --- [767, 675, 251, 867] info --- {'sequence': ['N259', 'N642', 'N304', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 57.424407958984375 logZ --- 0.9749918580055237
observation --- [314, 445, 588, 867] info --- {'sequence': ['N365', 'N350', 'N271', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.722782135009766 logZ --- 0.9749918580055237
observation --- [856, 160, 810, 867] info --- {'sequence': ['N603', 'N427', 'N109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 61.43311309814453 logZ --- 0.9699868559837341
observation --- [81, 411, 129, 867] info --- {'sequence': ['N276', 'N175', 'N52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.57666778564453 logZ --- 0.9699868559837341
observation --- [361, 722, 523, 867] info --- {'sequence': ['N424', 'N430', 'N188', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.807613372802734 logZ --- 0.9699868559837341
observation --- [711, 209, 810, 867] info --- {'sequence': ['N522', 'N588', 'N109', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.89098358154297 logZ --- 0.9699868559837341
observation --- [145, 320, 57, 867] info --- {'sequence': ['N263', 'N636', 'N34', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 54.92168045043945 logZ --- 0.9699868559837341
observation --- [151, 587, 562, 867] info --- {'sequence': ['N575', 'N715', 'N68', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 62.39605712890625 logZ --- 0.9649860858917236
observation --- [852, 257, 766, 867] info --- {'sequence': ['N210', 'N348', 'N310', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 60.209686279296875 logZ --- 0.9649860858917236
observation --- [228, 801, 834, 867] info --- {'sequence': ['N200', 'N337', 'N371', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 50.651981353759766 logZ --- 0.9649860858917236
observation --- [137, 800, 317, 867] info --- {'sequence': ['N387', 'N169', 'N2', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 55.328338623046875 logZ --- 0.9649860858917236
observation --- [41, 258, 830, 867] info --- {'sequence': ['N551', 'N363', 'N282', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.80713653564453 logZ --- 0.9649860858917236
observation --- [760, 48, 588, 867] info --- {'sequence': ['N513', 'N281', 'N271', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 65.50503540039062 logZ --- 0.9599885940551758
observation --- [234, 132, 34, 867] info --- {'sequence': ['N153', 'N664', 'N57', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 59.10401916503906 logZ --- 0.9599885940551758
observation --- [211, 514, 129, 867] info --- {'sequence': ['N500', 'N35', 'N52', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 63.686405181884766 logZ --- 0.9599885940551758
observation --- [732, 94, 263, 867] info --- {'sequence': ['N390', 'N462', 'N76', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 70.0806884765625 logZ --- 0.9599885940551758
observation --- [361, 603, 386, 867] info --- {'sequence': ['N424', 'N224', 'N514', '[TER]'], 'allowed_forward_actions': [], 'allowed_backward_actions': [867]} reward --- 0 loss --- 58.63519287109375 logZ --- 0.9599885940551758
